unique_identifier,inner,outer,degree_rotation_inner,degree_rotation_outer,degree_rotation_total,dataset,correct_angle
037,037_inner.jpg,037_outer.jpg,92.53,134.28,41.75,rotated_synthetic,41.75
038,038_inner.jpg,038_outer.jpg,-130.76,67.12,197.88,rotated_synthetic,197.88
039,039_inner.jpg,039_outer.jpg,142.9,52.35,-90.56,rotated_synthetic,-90.56
040,040_inner.jpg,040_outer.jpg,-123.56,-140.73,-17.16,rotated_synthetic,-17.16
041,041_inner.jpg,041_outer.jpg,10.06,-85.43,-95.5,rotated_synthetic,-95.5
042,042_inner.jpg,042_outer.jpg,80.6,178.27,97.67,rotated_synthetic,97.67
043,043_inner.jpg,043_outer.jpg,139.68,-125.24,-264.92,rotated_synthetic,-264.92
044,044_inner.jpg,044_outer.jpg,125.84,12.4,-113.44,rotated_synthetic,-113.44
045,045_inner.jpg,045_outer.jpg,122.73,54.37,-68.37,rotated_synthetic,-68.37
046,046_inner.jpg,046_outer.jpg,48.58,82.68,34.1,rotated_synthetic,34.1
047,047_inner.jpg,047_outer.jpg,-120.17,71.4,191.57,rotated_synthetic,191.57
048,048_inner.jpg,048_outer.jpg,-36.03,86.28,122.31,rotated_synthetic,122.31
049,049_inner.jpg,049_outer.jpg,-93.09,-146.21,-53.11,rotated_synthetic,-53.11
050,050_inner.jpg,050_outer.jpg,-3.4,6.24,9.64,rotated_synthetic,9.64
051,051_inner.jpg,051_outer.jpg,33.04,-109.39,-142.43,rotated_synthetic,-142.43
052,052_inner.jpg,052_outer.jpg,170.13,-23.47,-193.6,rotated_synthetic,-193.6
053,053_inner.jpg,053_outer.jpg,8.8,-6.23,-15.03,rotated_synthetic,-15.03
054,054_inner.jpg,054_outer.jpg,-75.21,-106.78,-31.57,rotated_synthetic,-31.57
055,055_inner.jpg,055_outer.jpg,15.43,-153.91,-169.34,rotated_synthetic,-169.34
056,056_inner.jpg,056_outer.jpg,75.24,41.8,-33.44,rotated_synthetic,-33.44
057,057_inner.jpg,057_outer.jpg,-174.65,-21.35,153.31,rotated_synthetic,153.31
058,058_inner.jpg,058_outer.jpg,179.69,-20.77,-200.46,rotated_synthetic,-200.46
059,059_inner.jpg,059_outer.jpg,105.92,78.88,-27.04,rotated_synthetic,-27.04
060,060_inner.jpg,060_outer.jpg,64.98,-121.59,-186.57,rotated_synthetic,-186.57
061,061_inner.jpg,061_outer.jpg,118.71,84.24,-34.47,rotated_synthetic,-34.47
062,062_inner.jpg,062_outer.jpg,-13.31,-13.02,0.29,rotated_synthetic,0.29
063,063_inner.jpg,063_outer.jpg,53.05,141.17,88.12,rotated_synthetic,88.12
064,064_inner.jpg,064_outer.jpg,49.64,-145.88,-195.52,rotated_synthetic,-195.52
065,065_inner.jpg,065_outer.jpg,6.62,-41.27,-47.88,rotated_synthetic,-47.88
066,066_inner.jpg,066_outer.jpg,125.97,131.92,5.95,rotated_synthetic,5.95
067,067_inner.jpg,067_outer.jpg,-38.35,-73.45,-35.11,rotated_synthetic,-35.11
068,068_inner.jpg,068_outer.jpg,122.06,-54.28,-176.35,rotated_synthetic,-176.35
069,069_inner.jpg,069_outer.jpg,-99.43,79.86,179.29,rotated_synthetic,179.29
070,070_inner.jpg,070_outer.jpg,171.52,69.55,-101.96,rotated_synthetic,-101.96
071,071_inner.jpg,071_outer.jpg,140.85,150.76,9.91,rotated_synthetic,9.91
072,072_inner.jpg,072_outer.jpg,86.34,162.17,75.83,rotated_synthetic,75.83
073,073_inner.jpg,073_outer.jpg,-68.13,74.62,142.75,rotated_synthetic,142.75
074,074_inner.jpg,074_outer.jpg,159.77,-27.4,-187.17,rotated_synthetic,-187.17
075,075_inner.jpg,075_outer.jpg,-164.94,173.13,338.07,rotated_synthetic,338.07
076,076_inner.jpg,076_outer.jpg,24.7,-115.16,-139.86,rotated_synthetic,-139.86
077,077_inner.jpg,077_outer.jpg,-131.66,-0.38,131.28,rotated_synthetic,131.28
078,078_inner.jpg,078_outer.jpg,-63.01,154.26,217.27,rotated_synthetic,217.27
079,079_inner.jpg,079_outer.jpg,90.3,-140.33,-230.63,rotated_synthetic,-230.63
080,080_inner.jpg,080_outer.jpg,-103.29,-163.35,-60.06,rotated_synthetic,-60.06
081,081_inner.jpg,081_outer.jpg,68.66,-164.94,-233.6,rotated_synthetic,-233.6
082,082_inner.jpg,082_outer.jpg,53.64,-148.88,-202.51,rotated_synthetic,-202.51
083,083_inner.jpg,083_outer.jpg,116.6,156.73,40.13,rotated_synthetic,40.13
084,084_inner.jpg,084_outer.jpg,-108.82,-93.08,15.74,rotated_synthetic,15.74
085,085_inner.jpg,085_outer.jpg,10.09,-169.81,-179.9,rotated_synthetic,-179.9
086,086_inner.jpg,086_outer.jpg,-150.59,-168.47,-17.88,rotated_synthetic,-17.88
087,087_inner.jpg,087_outer.jpg,7.71,-2.87,-10.58,rotated_synthetic,-10.58
088,088_inner.jpg,088_outer.jpg,-71.97,36.07,108.05,rotated_synthetic,108.05
089,089_inner.jpg,089_outer.jpg,100.38,-11.53,-111.9,rotated_synthetic,-111.9
090,090_inner.jpg,090_outer.jpg,-111.07,16.87,127.94,rotated_synthetic,127.94
091,091_inner.jpg,091_outer.jpg,66.17,35.03,-31.14,rotated_synthetic,-31.14
092,092_inner.jpg,092_outer.jpg,-102.81,-26.58,76.24,rotated_synthetic,76.24
093,093_inner.jpg,093_outer.jpg,31.34,95.77,64.43,rotated_synthetic,64.43
094,094_inner.jpg,094_outer.jpg,173.53,127.27,-46.27,rotated_synthetic,-46.27
095,095_inner.jpg,095_outer.jpg,-103.04,-42.86,60.18,rotated_synthetic,60.18
096,096_inner.jpg,096_outer.jpg,-142.02,-88.13,53.89,rotated_synthetic,53.89
097,097_inner.jpg,097_outer.jpg,19.02,176.99,157.97,rotated_synthetic,157.97
098,098_inner.jpg,098_outer.jpg,-118.48,67.39,185.87,rotated_synthetic,185.87
099,099_inner.jpg,099_outer.jpg,10.85,-128.35,-139.21,rotated_synthetic,-139.21
100,100_inner.jpg,100_outer.jpg,43.33,-140.11,-183.44,rotated_synthetic,-183.44
101,101_inner.jpg,101_outer.jpg,-113.2,94.74,207.94,rotated_synthetic,207.94
102,102_inner.jpg,102_outer.jpg,-139.44,100.47,239.91,rotated_synthetic,239.91
103,103_inner.jpg,103_outer.jpg,12.49,59.41,46.93,rotated_synthetic,46.93
104,104_inner.jpg,104_outer.jpg,-128.69,64.99,193.68,rotated_synthetic,193.68
105,105_inner.jpg,105_outer.jpg,42.72,30.84,-11.89,rotated_synthetic,-11.89
106,106_inner.jpg,106_outer.jpg,-78.02,176.09,254.11,rotated_synthetic,254.11
107,107_inner.jpg,107_outer.jpg,-38.86,35.49,74.34,rotated_synthetic,74.34
108,108_inner.jpg,108_outer.jpg,-27.99,8.54,36.53,rotated_synthetic,36.53
109,109_inner.jpg,109_outer.jpg,172.92,45.35,-127.57,rotated_synthetic,-127.57
110,110_inner.jpg,110_outer.jpg,83.08,98.56,15.48,rotated_synthetic,15.48
111,111_inner.jpg,111_outer.jpg,-29.72,6.21,35.93,rotated_synthetic,35.93
112,112_inner.jpg,112_outer.jpg,131.23,39.56,-91.67,rotated_synthetic,-91.67
113,113_inner.jpg,113_outer.jpg,-82.78,-149.76,-66.98,rotated_synthetic,-66.98
114,114_inner.jpg,114_outer.jpg,162.22,151.29,-10.93,rotated_synthetic,-10.93
115,115_inner.jpg,115_outer.jpg,165.14,169.33,4.19,rotated_synthetic,4.19
116,116_inner.jpg,116_outer.jpg,149.44,-41.31,-190.75,rotated_synthetic,-190.75
117,117_inner.jpg,117_outer.jpg,-56.27,157.91,214.17,rotated_synthetic,214.17
118,118_inner.jpg,118_outer.jpg,-126.59,148.41,275.0,rotated_synthetic,275.0
119,119_inner.jpg,119_outer.jpg,-103.57,-8.34,95.23,rotated_synthetic,95.23
120,120_inner.jpg,120_outer.jpg,-2.91,-53.22,-50.3,rotated_synthetic,-50.3
121,121_inner.jpg,121_outer.jpg,122.56,-115.89,-238.44,rotated_synthetic,-238.44
122,122_inner.jpg,122_outer.jpg,-33.52,-107.21,-73.69,rotated_synthetic,-73.69
123,123_inner.jpg,123_outer.jpg,-102.62,-12.27,90.35,rotated_synthetic,90.35
124,124_inner.jpg,124_outer.jpg,55.33,-88.64,-143.97,rotated_synthetic,-143.97
125,125_inner.jpg,125_outer.jpg,-109.76,94.48,204.24,rotated_synthetic,204.24
126,126_inner.jpg,126_outer.jpg,136.78,119.52,-17.26,rotated_synthetic,-17.26
127,127_inner.jpg,127_outer.jpg,72.28,100.48,28.2,rotated_synthetic,28.2
128,128_inner.jpg,128_outer.jpg,-166.01,102.61,268.62,rotated_synthetic,268.62
129,129_inner.jpg,129_outer.jpg,75.67,-32.4,-108.07,rotated_synthetic,-108.07
130,130_inner.jpg,130_outer.jpg,76.56,54.65,-21.91,rotated_synthetic,-21.91
131,131_inner.jpg,131_outer.jpg,-46.91,-38.16,8.75,rotated_synthetic,8.75
132,132_inner.jpg,132_outer.jpg,-90.54,161.03,251.57,rotated_synthetic,251.57
133,133_inner.jpg,133_outer.jpg,-107.64,-103.54,4.1,rotated_synthetic,4.1
134,134_inner.jpg,134_outer.jpg,-68.65,121.55,190.2,rotated_synthetic,190.2
135,135_inner.jpg,135_outer.jpg,23.49,-23.59,-47.08,rotated_synthetic,-47.08
136,136_inner.jpg,136_outer.jpg,-100.48,-18.64,81.85,rotated_synthetic,81.85
137,137_inner.jpg,137_outer.jpg,123.46,91.46,-32.0,rotated_synthetic,-32.0
138,138_inner.jpg,138_outer.jpg,42.27,-77.11,-119.38,rotated_synthetic,-119.38
139,139_inner.jpg,139_outer.jpg,-158.32,-118.69,39.63,rotated_synthetic,39.63
140,140_inner.jpg,140_outer.jpg,70.91,-82.16,-153.07,rotated_synthetic,-153.07
141,141_inner.jpg,141_outer.jpg,161.29,91.0,-70.29,rotated_synthetic,-70.29
142,142_inner.jpg,142_outer.jpg,101.02,-39.96,-140.99,rotated_synthetic,-140.99
143,143_inner.jpg,143_outer.jpg,124.43,83.6,-40.83,rotated_synthetic,-40.83
144,144_inner.jpg,144_outer.jpg,-175.61,-4.67,170.94,rotated_synthetic,170.94
145,145_inner.jpg,145_outer.jpg,79.67,97.88,18.21,rotated_synthetic,18.21
146,146_inner.jpg,146_outer.jpg,167.92,53.12,-114.8,rotated_synthetic,-114.8
147,147_inner.jpg,147_outer.jpg,33.89,-3.09,-36.98,rotated_synthetic,-36.98
148,148_inner.jpg,148_outer.jpg,-167.19,118.3,285.48,rotated_synthetic,285.48
149,149_inner.jpg,149_outer.jpg,82.24,-86.4,-168.64,rotated_synthetic,-168.64
150,150_inner.jpg,150_outer.jpg,-43.96,167.57,211.54,rotated_synthetic,211.54
151,151_inner.jpg,151_outer.jpg,58.29,54.13,-4.16,rotated_synthetic,-4.16
152,152_inner.jpg,152_outer.jpg,-43.25,85.87,129.12,rotated_synthetic,129.12
153,153_inner.jpg,153_outer.jpg,-55.87,-144.71,-88.83,rotated_synthetic,-88.83
154,154_inner.jpg,154_outer.jpg,130.34,20.45,-109.89,rotated_synthetic,-109.89
155,155_inner.jpg,155_outer.jpg,-161.36,41.76,203.12,rotated_synthetic,203.12
156,156_inner.jpg,156_outer.jpg,16.41,88.94,72.53,rotated_synthetic,72.53
157,157_inner.jpg,157_outer.jpg,135.17,64.3,-70.87,rotated_synthetic,-70.87
158,158_inner.jpg,158_outer.jpg,-45.63,-135.05,-89.42,rotated_synthetic,-89.42
159,159_inner.jpg,159_outer.jpg,-177.54,74.88,252.42,rotated_synthetic,252.42
160,160_inner.jpg,160_outer.jpg,108.61,-153.81,-262.42,rotated_synthetic,-262.42
161,161_inner.jpg,161_outer.jpg,-151.32,-31.16,120.17,rotated_synthetic,120.17
162,162_inner.jpg,162_outer.jpg,-113.85,-34.72,79.13,rotated_synthetic,79.13
163,163_inner.jpg,163_outer.jpg,158.01,-100.98,-258.98,rotated_synthetic,-258.98
164,164_inner.jpg,164_outer.jpg,-2.05,-11.61,-9.56,rotated_synthetic,-9.56
165,165_inner.jpg,165_outer.jpg,156.77,-71.16,-227.93,rotated_synthetic,-227.93
166,166_inner.jpg,166_outer.jpg,2.27,-29.3,-31.57,rotated_synthetic,-31.57
167,167_inner.jpg,167_outer.jpg,-118.77,-108.04,10.72,rotated_synthetic,10.72
168,168_inner.jpg,168_outer.jpg,91.25,-80.43,-171.68,rotated_synthetic,-171.68
169,169_inner.jpg,169_outer.jpg,144.6,143.57,-1.03,rotated_synthetic,-1.03
170,170_inner.jpg,170_outer.jpg,59.51,-32.84,-92.36,rotated_synthetic,-92.36
171,171_inner.jpg,171_outer.jpg,171.88,-126.74,-298.62,rotated_synthetic,-298.62
172,172_inner.jpg,172_outer.jpg,115.27,-155.64,-270.91,rotated_synthetic,-270.91
173,173_inner.jpg,173_outer.jpg,-1.11,147.1,148.21,rotated_synthetic,148.21
174,174_inner.jpg,174_outer.jpg,66.06,-175.2,-241.26,rotated_synthetic,-241.26
175,175_inner.jpg,175_outer.jpg,-139.89,-29.5,110.4,rotated_synthetic,110.4
176,176_inner.jpg,176_outer.jpg,-139.44,21.04,160.48,rotated_synthetic,160.48
177,177_inner.jpg,177_outer.jpg,126.38,-89.47,-215.85,rotated_synthetic,-215.85
178,178_inner.jpg,178_outer.jpg,-150.89,20.01,170.9,rotated_synthetic,170.9
179,179_inner.jpg,179_outer.jpg,-88.79,-0.76,88.03,rotated_synthetic,88.03
180,180_inner.jpg,180_outer.jpg,42.54,-28.98,-71.52,rotated_synthetic,-71.52
181,181_inner.jpg,181_outer.jpg,115.07,-46.92,-161.99,rotated_synthetic,-161.99
182,182_inner.jpg,182_outer.jpg,105.33,-84.68,-190.01,rotated_synthetic,-190.01
183,183_inner.jpg,183_outer.jpg,128.68,125.36,-3.32,rotated_synthetic,-3.32
184,184_inner.jpg,184_outer.jpg,-75.55,66.12,141.67,rotated_synthetic,141.67
185,185_inner.jpg,185_outer.jpg,-115.01,-107.3,7.7,rotated_synthetic,7.7
186,186_inner.jpg,186_outer.jpg,-88.07,70.78,158.85,rotated_synthetic,158.85
187,187_inner.jpg,187_outer.jpg,167.71,-89.29,-256.99,rotated_synthetic,-256.99
188,188_inner.jpg,188_outer.jpg,-41.17,-81.25,-40.08,rotated_synthetic,-40.08
189,189_inner.jpg,189_outer.jpg,52.22,-141.3,-193.52,rotated_synthetic,-193.52
190,190_inner.jpg,190_outer.jpg,109.94,99.47,-10.47,rotated_synthetic,-10.47
191,191_inner.jpg,191_outer.jpg,-30.96,-78.17,-47.22,rotated_synthetic,-47.22
192,192_inner.jpg,192_outer.jpg,-37.8,150.5,188.3,rotated_synthetic,188.3
193,193_inner.jpg,193_outer.jpg,-14.29,-148.81,-134.52,rotated_synthetic,-134.52
194,194_inner.jpg,194_outer.jpg,-146.44,69.09,215.53,rotated_synthetic,215.53
195,195_inner.jpg,195_outer.jpg,-80.62,66.1,146.72,rotated_synthetic,146.72
196,196_inner.jpg,196_outer.jpg,121.83,117.17,-4.66,rotated_synthetic,-4.66
197,197_inner.jpg,197_outer.jpg,84.46,160.89,76.43,rotated_synthetic,76.43
198,198_inner.jpg,198_outer.jpg,-170.49,-53.24,117.26,rotated_synthetic,117.26
199,199_inner.jpg,199_outer.jpg,-161.94,8.44,170.38,rotated_synthetic,170.38
