unique_identifier,inner,outer,degree_rotation_inner,degree_rotation_outer,degree_rotation_total,dataset,correct_angle,angle_class,base_image_id
39,039_inner.jpg,039_outer.jpg,142.9,52.35,-90.56,rotated_synthetic,90.55000000000001,18,39
41,041_inner.jpg,041_outer.jpg,10.06,-85.43,-95.5,rotated_synthetic,95.49000000000001,19,41
43,043_inner.jpg,043_outer.jpg,139.68,-125.24,-264.92,rotated_synthetic,264.92,52,43
44,044_inner.jpg,044_outer.jpg,125.84,12.4,-113.44,rotated_synthetic,113.44,22,44
46,046_inner.jpg,046_outer.jpg,48.58,82.68,34.1,rotated_synthetic,325.9,65,46
47,047_inner.jpg,047_outer.jpg,-120.17,71.4,191.57,rotated_synthetic,168.43,33,47
49,049_inner.jpg,049_outer.jpg,-93.09,-146.21,-53.11,rotated_synthetic,53.120000000000005,10,49
50,050_inner.jpg,050_outer.jpg,-3.4,6.24,9.64,rotated_synthetic,350.36,70,50
51,051_inner.jpg,051_outer.jpg,33.04,-109.39,-142.43,rotated_synthetic,142.43,28,51
53,053_inner.jpg,053_outer.jpg,8.8,-6.23,-15.03,rotated_synthetic,15.030000000000001,3,53
55,055_inner.jpg,055_outer.jpg,15.43,-153.91,-169.34,rotated_synthetic,169.34,33,55
57,057_inner.jpg,057_outer.jpg,-174.65,-21.35,153.31,rotated_synthetic,206.7,41,57
58,058_inner.jpg,058_outer.jpg,179.69,-20.77,-200.46,rotated_synthetic,200.46,40,58
59,059_inner.jpg,059_outer.jpg,105.92,78.88,-27.04,rotated_synthetic,27.040000000000006,5,59
60,060_inner.jpg,060_outer.jpg,64.98,-121.59,-186.57,rotated_synthetic,186.57,37,60
62,062_inner.jpg,062_outer.jpg,-13.31,-13.02,0.29,rotated_synthetic,359.71,71,62
63,063_inner.jpg,063_outer.jpg,53.05,141.17,88.12,rotated_synthetic,271.88,54,63
64,064_inner.jpg,064_outer.jpg,49.64,-145.88,-195.52,rotated_synthetic,195.51999999999998,39,64
65,065_inner.jpg,065_outer.jpg,6.62,-41.27,-47.88,rotated_synthetic,47.89,9,65
66,066_inner.jpg,066_outer.jpg,125.97,131.92,5.95,rotated_synthetic,354.05,70,66
69,069_inner.jpg,069_outer.jpg,-99.43,79.86,179.29,rotated_synthetic,180.70999999999998,36,69
70,070_inner.jpg,070_outer.jpg,171.52,69.55,-101.96,rotated_synthetic,101.97000000000001,20,70
71,071_inner.jpg,071_outer.jpg,140.85,150.76,9.91,rotated_synthetic,350.09000000000003,70,71
73,073_inner.jpg,073_outer.jpg,-68.13,74.62,142.75,rotated_synthetic,217.25,43,73
77,077_inner.jpg,077_outer.jpg,-131.66,-0.38,131.28,rotated_synthetic,228.72,45,77
78,078_inner.jpg,078_outer.jpg,-63.01,154.26,217.27,rotated_synthetic,142.73000000000002,28,78
80,080_inner.jpg,080_outer.jpg,-103.29,-163.35,-60.06,rotated_synthetic,60.05999999999999,12,80
81,081_inner.jpg,081_outer.jpg,68.66,-164.94,-233.6,rotated_synthetic,233.6,46,81
82,082_inner.jpg,082_outer.jpg,53.64,-148.88,-202.51,rotated_synthetic,202.51999999999998,40,82
84,084_inner.jpg,084_outer.jpg,-108.82,-93.08,15.74,rotated_synthetic,344.26,68,84
85,085_inner.jpg,085_outer.jpg,10.09,-169.81,-179.9,rotated_synthetic,179.9,35,85
86,086_inner.jpg,086_outer.jpg,-150.59,-168.47,-17.88,rotated_synthetic,17.879999999999995,3,86
88,088_inner.jpg,088_outer.jpg,-71.97,36.07,108.05,rotated_synthetic,251.96,50,88
89,089_inner.jpg,089_outer.jpg,100.38,-11.53,-111.9,rotated_synthetic,111.91,22,89
90,090_inner.jpg,090_outer.jpg,-111.07,16.87,127.94,rotated_synthetic,232.06,46,90
91,091_inner.jpg,091_outer.jpg,66.17,35.03,-31.14,rotated_synthetic,31.14,6,91
92,092_inner.jpg,092_outer.jpg,-102.81,-26.58,76.24,rotated_synthetic,283.77,56,92
93,093_inner.jpg,093_outer.jpg,31.34,95.77,64.43,rotated_synthetic,295.57,59,93
94,094_inner.jpg,094_outer.jpg,173.53,127.27,-46.27,rotated_synthetic,46.260000000000005,9,94
96,096_inner.jpg,096_outer.jpg,-142.02,-88.13,53.89,rotated_synthetic,306.11,61,96
98,098_inner.jpg,098_outer.jpg,-118.48,67.39,185.87,rotated_synthetic,174.13,34,98
99,099_inner.jpg,099_outer.jpg,10.85,-128.35,-139.21,rotated_synthetic,139.2,27,99
100,100_inner.jpg,100_outer.jpg,43.33,-140.11,-183.44,rotated_synthetic,183.44,36,100
101,101_inner.jpg,101_outer.jpg,-113.2,94.74,207.94,rotated_synthetic,152.06,30,101
103,103_inner.jpg,103_outer.jpg,12.49,59.41,46.93,rotated_synthetic,313.08,62,103
104,104_inner.jpg,104_outer.jpg,-128.69,64.99,193.68,rotated_synthetic,166.32,33,104
105,105_inner.jpg,105_outer.jpg,42.72,30.84,-11.89,rotated_synthetic,11.879999999999999,2,105
107,107_inner.jpg,107_outer.jpg,-38.86,35.49,74.34,rotated_synthetic,285.65,57,107
108,108_inner.jpg,108_outer.jpg,-27.99,8.54,36.53,rotated_synthetic,323.47,64,108
109,109_inner.jpg,109_outer.jpg,172.92,45.35,-127.57,rotated_synthetic,127.57,25,109
110,110_inner.jpg,110_outer.jpg,83.08,98.56,15.48,rotated_synthetic,344.52,68,110
113,113_inner.jpg,113_outer.jpg,-82.78,-149.76,-66.98,rotated_synthetic,66.97999999999999,13,113
116,116_inner.jpg,116_outer.jpg,149.44,-41.31,-190.75,rotated_synthetic,190.75,38,116
117,117_inner.jpg,117_outer.jpg,-56.27,157.91,214.17,rotated_synthetic,145.82,29,117
118,118_inner.jpg,118_outer.jpg,-126.59,148.41,275.0,rotated_synthetic,85.0,17,118
119,119_inner.jpg,119_outer.jpg,-103.57,-8.34,95.23,rotated_synthetic,264.77,52,119
120,120_inner.jpg,120_outer.jpg,-2.91,-53.22,-50.3,rotated_synthetic,50.31,10,120
121,121_inner.jpg,121_outer.jpg,122.56,-115.89,-238.44,rotated_synthetic,238.45,47,121
122,122_inner.jpg,122_outer.jpg,-33.52,-107.21,-73.69,rotated_synthetic,73.69,14,122
123,123_inner.jpg,123_outer.jpg,-102.62,-12.27,90.35,rotated_synthetic,269.65,53,123
126,126_inner.jpg,126_outer.jpg,136.78,119.52,-17.26,rotated_synthetic,17.260000000000005,3,126
127,127_inner.jpg,127_outer.jpg,72.28,100.48,28.2,rotated_synthetic,331.8,66,127
128,128_inner.jpg,128_outer.jpg,-166.01,102.61,268.62,rotated_synthetic,91.38,18,128
129,129_inner.jpg,129_outer.jpg,75.67,-32.4,-108.07,rotated_synthetic,108.07,21,129
130,130_inner.jpg,130_outer.jpg,76.56,54.65,-21.91,rotated_synthetic,21.910000000000004,4,130
131,131_inner.jpg,131_outer.jpg,-46.91,-38.16,8.75,rotated_synthetic,351.25,70,131
133,133_inner.jpg,133_outer.jpg,-107.64,-103.54,4.1,rotated_synthetic,355.9,71,133
134,134_inner.jpg,134_outer.jpg,-68.65,121.55,190.2,rotated_synthetic,169.8,33,134
135,135_inner.jpg,135_outer.jpg,23.49,-23.59,-47.08,rotated_synthetic,47.08,9,135
136,136_inner.jpg,136_outer.jpg,-100.48,-18.64,81.85,rotated_synthetic,278.15999999999997,55,136
137,137_inner.jpg,137_outer.jpg,123.46,91.46,-32.0,rotated_synthetic,32.0,6,137
138,138_inner.jpg,138_outer.jpg,42.27,-77.11,-119.38,rotated_synthetic,119.38,23,138
140,140_inner.jpg,140_outer.jpg,70.91,-82.16,-153.07,rotated_synthetic,153.07,30,140
141,141_inner.jpg,141_outer.jpg,161.29,91.0,-70.29,rotated_synthetic,70.28999999999999,14,141
142,142_inner.jpg,142_outer.jpg,101.02,-39.96,-140.99,rotated_synthetic,140.98,28,142
143,143_inner.jpg,143_outer.jpg,124.43,83.6,-40.83,rotated_synthetic,40.83000000000001,8,143
144,144_inner.jpg,144_outer.jpg,-175.61,-4.67,170.94,rotated_synthetic,189.05999999999997,37,144
145,145_inner.jpg,145_outer.jpg,79.67,97.88,18.21,rotated_synthetic,341.79,68,145
146,146_inner.jpg,146_outer.jpg,167.92,53.12,-114.8,rotated_synthetic,114.79999999999998,22,146
147,147_inner.jpg,147_outer.jpg,33.89,-3.09,-36.98,rotated_synthetic,36.980000000000004,7,147
150,150_inner.jpg,150_outer.jpg,-43.96,167.57,211.54,rotated_synthetic,148.47,29,150
151,151_inner.jpg,151_outer.jpg,58.29,54.13,-4.16,rotated_synthetic,4.159999999999997,0,151
153,153_inner.jpg,153_outer.jpg,-55.87,-144.71,-88.83,rotated_synthetic,88.84,17,153
154,154_inner.jpg,154_outer.jpg,130.34,20.45,-109.89,rotated_synthetic,109.89,21,154
155,155_inner.jpg,155_outer.jpg,-161.36,41.76,203.12,rotated_synthetic,156.88,31,155
156,156_inner.jpg,156_outer.jpg,16.41,88.94,72.53,rotated_synthetic,287.47,57,156
161,161_inner.jpg,161_outer.jpg,-151.32,-31.16,120.17,rotated_synthetic,239.84,47,161
162,162_inner.jpg,162_outer.jpg,-113.85,-34.72,79.13,rotated_synthetic,280.87,56,162
163,163_inner.jpg,163_outer.jpg,158.01,-100.98,-258.98,rotated_synthetic,258.99,51,163
165,165_inner.jpg,165_outer.jpg,156.77,-71.16,-227.93,rotated_synthetic,227.93,45,165
168,168_inner.jpg,168_outer.jpg,91.25,-80.43,-171.68,rotated_synthetic,171.68,34,168
170,170_inner.jpg,170_outer.jpg,59.51,-32.84,-92.36,rotated_synthetic,92.35,18,170
171,171_inner.jpg,171_outer.jpg,171.88,-126.74,-298.62,rotated_synthetic,298.62,59,171
173,173_inner.jpg,173_outer.jpg,-1.11,147.1,148.21,rotated_synthetic,211.79,42,173
175,175_inner.jpg,175_outer.jpg,-139.89,-29.5,110.4,rotated_synthetic,249.61,49,175
177,177_inner.jpg,177_outer.jpg,126.38,-89.47,-215.85,rotated_synthetic,215.85,43,177
178,178_inner.jpg,178_outer.jpg,-150.89,20.01,170.9,rotated_synthetic,189.10000000000002,37,178
179,179_inner.jpg,179_outer.jpg,-88.79,-0.76,88.03,rotated_synthetic,271.97,54,179
180,180_inner.jpg,180_outer.jpg,42.54,-28.98,-71.52,rotated_synthetic,71.52,14,180
181,181_inner.jpg,181_outer.jpg,115.07,-46.92,-161.99,rotated_synthetic,161.99,32,181
183,183_inner.jpg,183_outer.jpg,128.68,125.36,-3.32,rotated_synthetic,3.3200000000000074,0,183
186,186_inner.jpg,186_outer.jpg,-88.07,70.78,158.85,rotated_synthetic,201.15,40,186
188,188_inner.jpg,188_outer.jpg,-41.17,-81.25,-40.08,rotated_synthetic,40.08,8,188
189,189_inner.jpg,189_outer.jpg,52.22,-141.3,-193.52,rotated_synthetic,193.52,38,189
190,190_inner.jpg,190_outer.jpg,109.94,99.47,-10.47,rotated_synthetic,10.469999999999999,2,190
191,191_inner.jpg,191_outer.jpg,-30.96,-78.17,-47.22,rotated_synthetic,47.21,9,191
193,193_inner.jpg,193_outer.jpg,-14.29,-148.81,-134.52,rotated_synthetic,134.52,26,193
194,194_inner.jpg,194_outer.jpg,-146.44,69.09,215.53,rotated_synthetic,144.47,28,194
195,195_inner.jpg,195_outer.jpg,-80.62,66.1,146.72,rotated_synthetic,213.28,42,195
196,196_inner.jpg,196_outer.jpg,121.83,117.17,-4.66,rotated_synthetic,4.659999999999997,0,196
197,197_inner.jpg,197_outer.jpg,84.46,160.89,76.43,rotated_synthetic,283.57,56,197
198,198_inner.jpg,198_outer.jpg,-170.49,-53.24,117.26,rotated_synthetic,242.75,48,198
199,199_inner.jpg,199_outer.jpg,-161.94,8.44,170.38,rotated_synthetic,189.62,37,199
